mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_booster,param_base_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
8.135967922210693,0.6019587051720627,0.14867300987243653,0.07149747713731211,1500,1,15,0.2,gblinear,0.75,"{'n_estimators': 1500, 'min_child_weight': 1, 'max_depth': 15, 'learning_rate': 0.2, 'booster': 'gblinear', 'base_score': 0.75}",-17854.709780340327,-21185.543477097603,-21583.48330479452,-19406.50247485017,-21332.04761076627,-20272.457329569777,1433.2221046819454,44,-17325.30627608626,-16180.66234682684,-16326.303731003853,-16968.433506795805,-15075.299739471853,-16375.201120036922,772.6065441584719
5.934490156173706,0.6674383347227559,0.05773959159851074,0.0021967812869848726,1100,4,3,0.1,gbtree,1.0,"{'n_estimators': 1100, 'min_child_weight': 4, 'max_depth': 3, 'learning_rate': 0.1, 'booster': 'gbtree', 'base_score': 1}",-15130.451292273116,-15989.660330158391,-16314.120250963186,-13440.647313784246,-17161.092051048803,-15607.194247645548,1263.4739826353275,1,-2389.912216395548,-2228.429256073416,-2136.790828339041,-2323.0864391588184,-2373.390049764555,-2290.3217579462757,95.17830949207507
2.9989460945129394,0.2554554164996011,0.06672549247741699,0.011802891951435416,500,4,10,0.1,gblinear,0.75,"{'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 10, 'learning_rate': 0.1, 'booster': 'gblinear', 'base_score': 0.75}",-17203.756340967466,-21474.504815924658,-21998.21252943065,-18737.019063035103,-20790.037002354453,-20040.705950342464,1799.8328147857412,22,-17527.110938503316,-16398.45133240582,-16618.899432456656,-17273.21766307256,-15263.52943232288,-16616.24175975225,792.2840870028252
23.011350679397584,4.565225806383899,0.10863208770751953,0.027285098017467233,900,4,15,0.05,gbtree,0.5,"{'n_estimators': 900, 'min_child_weight': 4, 'max_depth': 15, 'learning_rate': 0.05, 'booster': 'gbtree', 'base_score': 0.5}",-16951.766012949487,-17023.536681292808,-17541.342546018837,-14483.719405500857,-17399.708957619863,-16680.014720676372,1120.304836295786,15,-8.921503772474315,-13.413724716395548,-52.2581569723887,-10.20199459546233,-67.22804741010275,-30.40468549336473,24.46181826041997
6.446968269348145,0.4527214090152497,0.060008001327514646,0.004974759510788142,1500,3,2,0.15,gbtree,0.25,"{'n_estimators': 1500, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.15, 'booster': 'gbtree', 'base_score': 0.25}",-16017.685841181506,-16243.512401005994,-16941.066259096748,-13864.051169199487,-17856.337863869863,-16184.530706870719,1325.3849664287216,9,-3631.878819295805,-3536.5537477258135,-3661.2155427279536,-3829.164463827055,-3573.395695098459,-3646.4416537350176,101.2215720397898
0.6247188091278076,0.021156801088853417,0.053971385955810545,0.00613929960302751,100,1,15,0.2,gblinear,0.75,"{'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 15, 'learning_rate': 0.2, 'booster': 'gblinear', 'base_score': 0.75}",-16947.92065095248,-21649.861308058647,-22242.301731057363,-18772.690844392124,-21269.66921286387,-20176.488749464897,2001.3872200006188,39,-17900.554545363335,-16735.67891494542,-16901.303411614404,-17668.98807724208,-16050.317103555757,-17051.3684105442,667.3611054023967
6.095019197463989,0.06582140876915449,0.06290116310119628,0.002253932764964134,1500,3,2,0.2,gbtree,1.0,"{'n_estimators': 1500, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.2, 'booster': 'gbtree', 'base_score': 1}",-16328.771176690925,-16738.76883561644,-17349.041764768837,-13370.564573523116,-17804.852391909248,-16318.399748501712,1558.0959137071031,11,-2790.10346880351,-2768.136474609375,-2709.6711760220464,-2856.6042647688355,-2710.4040192904536,-2766.983880698844,54.8701811589269
7.7318243980407715,1.1895440926567222,0.06477189064025879,0.006971935906872029,500,4,10,0.1,gbtree,1.0,"{'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 10, 'learning_rate': 0.1, 'booster': 'gbtree', 'base_score': 1}",-16814.666657748287,-16702.42809556935,-17688.556292808218,-14248.296326519692,-17245.87372913099,-16539.96422035531,1197.5950616947093,14,-10.68401179901541,-18.691740689212327,-101.76473873608732,-12.008926182577055,-121.45496107127569,-52.92087569563356,48.39838382231074
4.392981481552124,0.45803067495241134,0.06559486389160156,0.02020246413656798,900,1,2,0.1,gbtree,0.25,"{'n_estimators': 900, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'booster': 'gbtree', 'base_score': 0.25}",-15062.24910370291,-16664.712944135274,-16417.934717465752,-13614.061001712329,-17747.24050192637,-15901.239653788527,1427.7727910891845,3,-6952.1168564051795,-6972.271835536173,-6722.073322452911,-7117.500270895762,-6595.8020889073205,-6871.952874839469,187.35357926674288
27.204531145095824,1.339601724362677,0.12626490592956544,0.016204988798983112,900,3,15,0.1,gbtree,0.25,"{'n_estimators': 900, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.1, 'booster': 'gbtree', 'base_score': 0.25}",-16109.752836044521,-16681.81906838613,-18411.011932791094,-14931.764059824487,-17314.13920697774,-16689.697420804794,1164.437948966849,16,-7.155336980950342,-7.145434235873288,-0.05128290881849315,-7.150133106806507,-0.04905888805650685,-4.310249224101027,3.4783408693546063
